tipo_movimiento,mes,trimestre,total_movimientos,cantidad_total,peso_total,volumen_total,cantidad_promedio,peso_promedio,volumen_promedio,usuarios_unicos,porcentaje_mensual
Entrada,1,1,10516,5232893.88,2638988.57,263757.6,497.61,250.95,25.08,7,45.36
Salida,1,1,9271,4635828.18,2302228.2,231675.61,500.04,248.33,24.99,7,39.99
Traslado,1,1,2239,1138589.42,560715.27,55754.33,508.53,250.43,24.9,7,9.66
Ajuste,1,1,1158,589552.75,284911.42,28808.76,509.11,246.04,24.88,7,4.99
Entrada,2,1,9755,4862253.35,2411275.68,244163.01,498.44,247.18,25.03,7,45.05
Salida,2,1,8634,4337665.75,2166697.71,214907.99,502.39,250.95,24.89,7,39.88
Traslado,2,1,2152,1053452.43,529914.15,53308.8,489.52,246.24,24.77,7,9.94
Ajuste,2,1,1111,558184.33,273236.86,28104.92,502.42,245.94,25.3,7,5.13
Entrada,3,1,10405,5172602.76,2609231.56,259929.59,497.13,250.77,24.98,7,45.09
Salida,3,1,9249,4625050.08,2318809.5,232602.97,500.06,250.71,25.15,7,40.08
Traslado,3,1,2280,1140418.34,570725.62,57374.51,500.18,250.32,25.16,7,9.88
Ajuste,3,1,1140,576886.01,290949.57,28035.36,506.04,255.22,24.59,7,4.94
Entrada,4,2,10163,5097456.95,2552778.69,256282.86,501.57,251.18,25.22,7,45.08
Salida,4,2,9045,4523168.45,2254119.05,226670.39,500.07,249.21,25.06,7,40.12
Traslado,4,2,2189,1097324.79,554066.84,54659.07,501.29,253.11,24.97,7,9.71
Ajuste,4,2,1148,567721.39,281391.97,28174.45,494.53,245.11,24.54,7,5.09
Entrada,5,2,10400,5139584.88,2591585.97,262042.15,494.19,249.19,25.2,7,44.63
Salida,5,2,9467,4714246.04,2357769.31,236294.82,497.97,249.05,24.96,7,40.62
Traslado,5,2,2290,1148759.57,578359.56,58108.13,501.64,252.56,25.37,7,9.83
Ajuste,5,2,1147,576651.95,292549.67,28827.31,502.75,255.06,25.13,7,4.92
Entrada,6,2,10043,5034957.13,2513752.26,253098.73,501.34,250.3,25.2,7,44.60
Salida,6,2,9026,4471805.19,2254414.64,226811.98,495.44,249.77,25.13,7,40.08
Traslado,6,2,2279,1131775.34,565487.25,57117.91,496.61,248.13,25.06,7,10.12
Ajuste,6,2,1171,572586.44,299549.73,29668.65,488.97,255.81,25.34,7,5.20
Entrada,7,3,10536,5210411.61,2660321.36,262254.19,494.53,252.5,24.89,7,45.08
Salida,7,3,9401,4751781.73,2344291.02,233266.53,505.45,249.37,24.81,7,40.23
Traslado,7,3,2261,1126071.86,568770.46,57745.67,498.04,251.56,25.54,7,9.67
Ajuste,7,3,1172,581556.06,294650.36,29574.04,496.21,251.41,25.23,7,5.01
Entrada,8,3,10401,5226973.8,2626761.74,258986.95,502.55,252.55,24.9,7,44.78
Salida,8,3,9319,4684268.92,2330504.26,233934.81,502.66,250.08,25.1,7,40.12
Traslado,8,3,2365,1215113.04,593475.63,59492.85,513.79,250.94,25.16,7,10.18
Ajuste,8,3,1141,561900.58,295995.5,28695.79,492.46,259.42,25.15,7,4.91
Entrada,9,3,10215,5173465.93,2563121.4,255853.45,506.46,250.92,25.05,7,45.34
Salida,9,3,8922,4455493.71,2234121.21,224470.22,499.38,250.41,25.16,7,39.60
Traslado,9,3,2267,1136822.79,561643.88,56009.82,501.47,247.75,24.71,7,10.06
Ajuste,9,3,1127,540453.41,281229.47,28329.47,479.55,249.54,25.14,7,5.00
Entrada,10,4,10390,5239917.38,2594756.47,259801.86,504.32,249.74,25,7,44.87
Salida,10,4,9339,4699218.1,2312536.83,233244.8,503.18,247.62,24.98,7,40.33
Traslado,10,4,2274,1124635.44,571987.28,57583.94,494.56,251.53,25.32,7,9.82
Ajuste,10,4,1152,548607.82,290013.76,28472.23,476.22,251.75,24.72,7,4.98
Entrada,11,4,10219,5063997.85,2566280.15,256825.38,495.55,251.13,25.13,7,45.14
Salida,11,4,8975,4496645.69,2253619.87,225908.78,501.02,251.1,25.17,7,39.65
Traslado,11,4,2347,1163302.62,582402.86,58899.26,495.66,248.15,25.1,7,10.37
Ajuste,11,4,1095,573267.9,274023,25967.62,523.53,250.25,23.71,7,4.84
Entrada,12,4,10145,5082351.92,2542194.93,253227.45,500.97,250.59,24.96,7,44.98
Salida,12,4,9039,4545454.43,2263304.07,228027.92,502.87,250.39,25.23,7,40.08
Traslado,12,4,2244,1116154.71,555439.93,56363.05,497.4,247.52,25.12,7,9.95
Ajuste,12,4,1126,563228.6,274747.03,27741.34,500.2,244,24.64,7,4.99
