Id_almacen,Zona_almacen,Tipo_operacion,total_operaciones,eficiencia_global,tiempo_real_promedio,tiempo_estimado_promedio,desviacion_tiempo,volumen_total_manejado,velocidad_operacion,tasa_exito,tasa_fallo
1,Zona E - Expedición,Inventario,942,101.81,61.74,59.9,1.84,11832.08,2.82,83.12,1.06
4,Zona C - Picking,Picking,1041,101.63,61.23,59.57,1.66,13052.34,2.71,84.73,0.67
1,Zona E - Expedición,Picking,1016,101.61,61.9,61.04,0.86,12871.87,2.62,84.45,0.20
5,Zona B - Almacenaje,Packing,948,101.41,59.9,60.71,-0.82,12000.04,2.79,85.86,1.05
3,Zona D - Packing,Picking,955,101.35,59.79,60.63,-0.85,12054.6,2.75,87.12,0.73
3,Zona C - Picking,Packing,1013,101.31,61.08,59.16,1.92,12645.09,2.75,85.00,0.69
5,Zona D - Packing,Inventario,981,101.27,61.59,59.77,1.82,12537.56,2.52,83.69,0.61
5,Zona A - Recepción,Picking,988,101.1,60.57,62.04,-1.47,12422.24,2.74,82.79,0.81
5,Zona D - Packing,Recepción,968,101.05,59.57,58.47,1.1,12664.52,2.86,83.99,0.52
3,Zona E - Expedición,Inventario,996,100.99,62.27,63.48,-1.21,12744.87,2.66,84.14,0.60
1,Zona B - Almacenaje,Packing,970,100.96,62.14,60.78,1.36,12220.6,2.68,85.57,0.31
3,Zona D - Packing,Recepción,996,100.85,62.11,61.8,0.32,12885.55,2.69,85.74,0.70
3,Zona C - Picking,Picking,998,100.81,61.34,62.64,-1.3,12705.07,2.56,84.47,1.20
2,Zona B - Almacenaje,Recepción,960,100.79,59.15,61.85,-2.7,12181.03,2.83,84.06,0.63
5,Zona C - Picking,Picking,990,100.77,57.17,60.2,-3.04,12397.52,2.72,84.75,1.31
3,Zona B - Almacenaje,Picking,1045,100.74,62.89,60.78,2.11,13343.25,2.56,84.59,0.77
3,Zona E - Expedición,Packing,1031,100.72,61.09,61.63,-0.54,13113.4,2.57,84.09,0.68
2,Zona D - Packing,Packing,988,100.72,59.15,60.91,-1.76,12461.78,2.92,85.22,0.81
2,Zona B - Almacenaje,Inventario,1019,100.68,58.97,61.74,-2.77,13070.91,2.73,83.51,0.79
2,Zona A - Recepción,Packing,1033,100.67,60.48,60.82,-0.34,13168.56,2.7,86.25,0.68
5,Zona E - Expedición,Inventario,1013,100.66,57.12,58.56,-1.44,12893.88,2.78,85.39,0.99
3,Zona C - Picking,Inventario,999,100.64,61.63,61.03,0.61,12671.63,2.6,83.18,1.10
3,Zona E - Expedición,Picking,1053,100.63,59,60.89,-1.89,13361.2,2.78,85.09,0.76
1,Zona C - Picking,Recepción,992,100.58,58.09,59.93,-1.85,12638,2.77,84.68,0.91
4,Zona A - Recepción,Packing,951,100.55,58.03,59.98,-1.95,12076.16,2.84,84.96,0.74
3,Zona E - Expedición,Recepción,980,100.47,59.36,60.97,-1.61,12565.78,2.58,86.84,0.71
1,Zona A - Recepción,Inventario,1038,100.44,61.49,58.38,3.11,13095.28,2.67,85.26,0.48
5,Zona C - Picking,Inventario,1028,100.43,60.13,59.65,0.48,12898.58,2.66,83.75,1.07
3,Zona D - Packing,Packing,1013,100.36,59.57,60.1,-0.53,12848.5,2.7,85.59,0.69
2,Zona C - Picking,Recepción,940,100.31,59.74,60.91,-1.17,11907.86,2.68,83.40,0.64
5,Zona C - Picking,Recepción,1023,100.26,61.51,60.19,1.32,12963.56,2.81,86.31,0.49
4,Zona B - Almacenaje,Picking,949,100.26,62.9,58.9,4,12060.11,2.62,85.88,0.53
2,Zona C - Picking,Inventario,1012,100.25,60.34,59.86,0.47,12952.77,2.76,86.96,0.79
4,Zona D - Packing,Packing,1006,100.25,57.78,60.6,-2.82,12927.82,2.76,85.98,0.80
5,Zona D - Packing,Packing,974,100.2,60.14,61.88,-1.74,12370.37,2.69,85.52,0.51
1,Zona E - Expedición,Packing,1015,100.18,60.13,60.33,-0.19,13090.44,2.8,86.21,0.69
