"id_operacion","id_almacen","fecha_hora","tipo_operacion","recursos_asignados","productos_involucrados","tiempo_ejecucion","estado_operacion","tiempo_estimado","productividad","zona_almacen","volumen"
1,2,"2024-09-22 08:36:00","Inventario",4,28,"61.49","Completado","139.50","1.04","Zona E - Expedición","19.77"
2,1,"2024-09-09 03:00:00","Recepción",7,9,"74.36","Completado","64.14","0.68","Zona E - Expedición","5.00"
3,5,"2024-01-22 12:06:00","Picking",1,88,"95.78","Completado","25.40","0.68","Zona E - Expedición","8.09"
4,2,"2024-08-05 05:14:00","Picking",3,59,"79.83","Completado","39.36","0.69","Zona B - Almacenaje","22.13"
5,2,"2024-02-15 03:24:00","Packing",1,97,"127.71","Completado","109.59","1.03","Zona D - Packing","12.43"
6,1,"2024-08-15 00:41:00","Inventario",1,39,"116.02","Completado","84.85","1.27","Zona D - Packing","16.69"
7,3,"2024-10-01 07:55:00","Packing",6,33,"41.67","Completado","22.40","0.76","Zona A - Recepción","1.79"
8,4,"2024-06-09 02:10:00","Recepción",1,200,"35.80","En_Progreso","77.91","0.88","Zona B - Almacenaje","2.49"
9,1,"2024-05-10 11:48:00","Picking",4,189,"59.75","En_Progreso","18.09","1.05","Zona C - Picking","19.09"
10,2,"2024-07-03 01:59:00","Picking",3,14,"43.24","Completado","134.22","0.76","Zona D - Packing","3.51"
11,5,"2024-06-11 01:42:00","Recepción",7,12,"12.86","Completado","122.78","1.32","Zona D - Packing","2.77"
12,2,"2024-09-21 06:17:00","Inventario",4,29,"27.51","Completado","147.12","1.26","Zona D - Packing","19.50"
13,3,"2024-07-22 13:52:00","Packing",7,185,"9.23","Completado","113.08","0.64","Zona C - Picking","1.80"
14,5,"2024-04-23 10:38:00","Packing",4,49,"45.11","Completado","50.06","1.32","Zona B - Almacenaje","4.97"
15,3,"2024-08-11 00:11:00","Picking",8,43,"57.42","Completado","49.56","0.90","Zona A - Recepción","1.47"
16,1,"2024-04-20 08:57:00","Packing",5,13,"54.80","Completado","38.47","0.82","Zona C - Picking","19.93"
17,3,"2024-06-28 05:50:00","Packing",6,109,"23.16","Completado","168.88","0.90","Zona B - Almacenaje","17.86"
18,3,"2024-07-18 11:48:00","Packing",1,107,"52.12","Completado","11.31","0.98","Zona E - Expedición","3.76"
19,3,"2024-07-07 08:05:00","Inventario",8,56,"24.91","Completado","32.08","0.72","Zona C - Picking","24.73"
20,1,"2024-05-20 11:09:00","Picking",4,67,"39.71","Completado","135.67","1.05","Zona A - Recepción","0.52"
21,2,"2024-09-14 05:30:00","Packing",7,190,"44.56","Completado","41.20","0.77","Zona D - Packing","24.78"
22,2,"2024-09-13 10:15:00","Inventario",5,164,"24.11","Completado","54.14","1.30","Zona B - Almacenaje","5.90"
23,4,"2024-07-02 03:36:00","Recepción",2,18,"54.02","Completado","49.05","0.69","Zona D - Packing","20.37"
24,3,"2024-05-23 10:32:00","Inventario",2,31,"82.72","Completado","48.84","1.02","Zona E - Expedición","22.45"
25,2,"2024-07-05 10:15:00","Recepción",8,12,"27.25","Completado","97.84","0.62","Zona E - Expedición","3.25"
26,4,"2024-08-25 07:25:00","Inventario",1,26,"127.97","Completado","173.56","0.86","Zona E - Expedición","7.28"
27,4,"2024-09-29 04:18:00","Picking",5,49,"48.81","Completado","17.92","0.84","Zona D - Packing","22.33"
28,4,"2024-08-21 07:01:00","Picking",3,117,"46.47","Completado","12.54","1.21","Zona E - Expedición","1.92"
29,1,"2024-07-02 03:25:00","Inventario",1,93,"23.78","Completado","155.31","0.65","Zona D - Packing","20.48"
30,2,"2024-05-24 13:39:00","Recepción",6,128,"28.36","Completado","15.31","0.63","Zona A - Recepción","18.88"
31,4,"2024-04-16 09:40:00","Recepción",5,52,"133.00","Completado","75.49","1.30","Zona D - Packing","13.35"
32,4,"2024-07-07 10:32:00","Recepción",5,43,"18.37","En_Progreso","27.51","1.08","Zona D - Packing","18.45"
33,5,"2024-06-27 01:20:00","Picking",1,21,"28.03","Completado","29.02","0.96","Zona D - Packing","10.01"
34,2,"2024-03-18 01:49:00","Packing",8,64,"21.63","Completado","31.71","0.93","Zona E - Expedición","8.60"
35,5,"2024-01-11 12:33:00","Recepción",6,166,"181.17","Completado","19.71","0.75","Zona C - Picking","23.85"
36,3,"2024-02-21 04:55:00","Recepción",5,12,"184.13","Completado","108.43","0.74","Zona B - Almacenaje","15.89"
37,2,"2024-06-03 00:11:00","Picking",3,78,"135.25","Completado","25.26","0.64","Zona A - Recepción","24.67"
38,2,"2024-02-02 12:43:00","Recepción",2,102,"21.48","Completado","21.01","1.30","Zona B - Almacenaje","2.58"
39,2,"2024-06-11 03:25:00","Inventario",6,40,"36.74","Completado","92.91","0.71","Zona B - Almacenaje","5.26"
40,4,"2024-08-24 03:47:00","Picking",7,88,"33.93","Completado","20.96","0.62","Zona A - Recepción","21.77"
41,2,"2024-02-29 07:35:00","Inventario",5,140,"39.88","Completado","24.79","1.20","Zona C - Picking","8.96"
42,5,"2024-08-13 09:48:00","Picking",3,64,"65.71","En_Progreso","28.30","1.40","Zona E - Expedición","10.16"
43,5,"2024-08-04 08:39:00","Picking",3,115,"38.10","Completado","53.20","1.31","Zona B - Almacenaje","6.31"
44,5,"2024-03-17 03:05:00","Picking",7,19,"22.06","Completado","61.79","1.29","Zona D - Packing","4.16"
45,2,"2024-08-15 03:51:00","Packing",1,73,"125.62","En_Progreso","24.81","0.73","Zona B - Almacenaje","7.23"
46,1,"2024-04-30 08:32:00","Picking",7,171,"24.62","Completado","65.70","1.20","Zona B - Almacenaje","0.72"
47,2,"2024-04-06 10:09:00","Packing",5,22,"102.37","Completado","35.58","0.73","Zona C - Picking","15.30"
48,3,"2024-09-15 09:53:00","Picking",2,21,"27.01","Completado","50.42","0.96","Zona D - Packing","13.57"
49,2,"2024-07-15 11:11:00","Packing",4,41,"54.13","Completado","177.57","1.26","Zona A - Recepción","18.96"
50,3,"2024-07-22 05:28:00","Picking",1,61,"44.71","Completado","13.16","1.00","Zona C - Picking","24.35"
51,3,"2024-02-02 07:16:00","Picking",6,109,"123.95","Completado","87.05","0.60","Zona E - Expedición","16.74"
52,3,"2024-07-11 10:06:00","Recepción",8,83,"82.84","Completado","52.07","0.68","Zona E - Expedición","11.48"
53,4,"2024-02-05 03:40:00","Picking",4,64,"36.35","Completado","36.54","0.64","Zona E - Expedición","20.71"
54,1,"2024-06-06 13:04:00","Inventario",5,188,"63.15","Completado","62.94","0.73","Zona B - Almacenaje","23.03"
55,1,"2024-09-05 08:47:00","Recepción",7,103,"18.14","Completado","75.47","1.09","Zona B - Almacenaje","7.15"
56,4,"2024-03-30 10:52:00","Picking",5,18,"164.33","En_Progreso","78.39","1.38","Zona E - Expedición","21.59"
57,4,"2024-09-30 08:23:00","Inventario",4,29,"82.63","Completado","62.06","0.81","Zona C - Picking","7.40"
58,2,"2024-03-17 11:12:00","Picking",2,133,"23.11","Completado","28.58","1.40","Zona E - Expedición","6.80"
59,3,"2024-07-08 09:11:00","Packing",8,166,"121.70","Completado","66.45","0.72","Zona C - Picking","12.47"
60,4,"2024-10-04 01:08:00","Picking",5,112,"142.13","Completado","39.79","0.71","Zona B - Almacenaje","9.45"
61,4,"2024-06-30 13:31:00","Recepción",3,114,"137.98","Completado","47.48","1.36","Zona B - Almacenaje","16.65"
62,3,"2024-02-12 06:51:00","Picking",2,176,"100.57","Completado","74.90","1.00","Zona C - Picking","12.31"
63,2,"2024-04-27 01:15:00","Packing",2,42,"51.08","En_Progreso","110.22","1.22","Zona E - Expedición","17.73"
64,1,"2024-03-17 08:07:00","Recepción",1,61,"51.57","Completado","79.74","1.24","Zona A - Recepción","17.66"
65,5,"2024-09-22 03:09:00","Recepción",8,49,"83.09","Completado","132.22","1.40","Zona E - Expedición","4.27"
66,5,"2024-03-17 07:07:00","Recepción",4,187,"34.84","Completado","39.15","0.69","Zona C - Picking","12.84"
67,1,"2024-06-04 02:15:00","Recepción",1,14,"19.57","Completado","21.87","0.98","Zona C - Picking","3.58"
68,3,"2024-01-13 11:11:00","Inventario",7,166,"37.46","Completado","36.82","1.14","Zona B - Almacenaje","16.77"
69,4,"2024-01-19 07:03:00","Recepción",4,150,"14.70","En_Progreso","30.96","1.35","Zona B - Almacenaje","1.08"
70,4,"2024-03-25 12:00:00","Recepción",6,27,"63.02","Completado","17.59","1.04","Zona A - Recepción","24.75"
71,2,"2024-02-14 10:54:00","Recepción",2,21,"19.69","Completado","114.68","0.69","Zona B - Almacenaje","15.76"
72,5,"2024-08-31 03:49:00","Recepción",1,181,"27.17","Completado","39.44","0.65","Zona A - Recepción","4.20"
73,5,"2024-06-07 08:08:00","Recepción",2,180,"28.26","Completado","31.79","0.64","Zona B - Almacenaje","1.04"
74,3,"2024-06-14 04:41:00","Inventario",4,118,"56.67","Completado","20.49","0.87","Zona C - Picking","3.73"
75,2,"2024-07-05 06:34:00","Recepción",5,59,"126.45","Completado","161.18","1.28","Zona E - Expedición","20.45"
76,4,"2024-07-28 00:07:00","Picking",1,3,"51.43","Completado","28.53","1.02","Zona A - Recepción","24.05"
77,3,"2024-09-07 06:52:00","Picking",8,104,"71.50","Completado","79.49","0.89","Zona C - Picking","24.62"
78,5,"2024-09-27 07:32:00","Inventario",2,42,"93.90","Completado","146.01","1.40","Zona A - Recepción","3.06"
79,2,"2024-05-08 06:16:00","Packing",7,191,"17.98","En_Progreso","58.74","1.17","Zona C - Picking","16.53"
80,1,"2024-03-24 04:00:00","Picking",3,104,"136.16","Completado","53.96","1.18","Zona C - Picking","16.02"
81,2,"2024-06-09 08:14:00","Inventario",1,89,"46.47","Completado","15.80","1.10","Zona A - Recepción","7.36"
82,2,"2024-03-10 11:58:00","Inventario",1,157,"22.05","Completado","124.01","0.94","Zona C - Picking","6.55"
83,5,"2024-08-10 07:01:00","Picking",2,157,"47.82","Completado","39.29","1.09","Zona C - Picking","17.86"
84,5,"2024-08-23 10:41:00","Packing",7,141,"33.46","Completado","21.70","1.04","Zona B - Almacenaje","24.75"
85,4,"2024-06-22 07:43:00","Packing",8,96,"37.39","Completado","71.79","1.29","Zona B - Almacenaje","11.23"
86,2,"2024-07-24 13:22:00","Packing",5,114,"119.41","Completado","35.45","0.86","Zona C - Picking","21.34"
87,5,"2024-07-22 08:20:00","Picking",3,69,"198.45","Completado","70.59","1.22","Zona A - Recepción","7.65"
88,5,"2024-07-12 03:41:00","Inventario",8,180,"22.80","Completado","45.23","1.16","Zona D - Packing","10.59"
89,2,"2024-09-11 10:06:00","Recepción",2,38,"134.32","Completado","61.41","0.78","Zona E - Expedición","23.54"
90,4,"2024-08-13 08:39:00","Picking",8,191,"125.39","Completado","17.26","0.76","Zona E - Expedición","10.25"
91,2,"2024-01-01 10:45:00","Inventario",3,39,"25.61","Completado","59.27","1.37","Zona D - Packing","24.00"
92,3,"2024-08-22 12:50:00","Packing",8,166,"102.60","Completado","67.83","0.71","Zona B - Almacenaje","9.40"
93,4,"2024-07-20 07:51:00","Recepción",8,62,"62.38","Completado","142.09","0.61","Zona A - Recepción","24.87"
94,2,"2024-06-24 01:14:00","Recepción",1,93,"27.74","Completado","13.00","0.64","Zona D - Packing","24.93"
95,1,"2024-09-23 02:14:00","Inventario",2,6,"43.07","Completado","97.11","0.98","Zona D - Packing","14.76"
96,1,"2024-06-13 05:09:00","Recepción",5,171,"53.62","Completado","127.98","0.83","Zona A - Recepción","15.60"
97,1,"2024-01-02 00:42:00","Picking",2,196,"29.91","Completado","35.59","0.86","Zona E - Expedición","12.13"
98,2,"2024-01-03 11:45:00","Packing",2,153,"56.65","Completado","45.16","0.70","Zona C - Picking","2.63"
99,1,"2024-03-17 13:26:00","Picking",1,192,"26.39","Completado","18.95","0.86","Zona E - Expedición","12.95"
100,5,"2024-05-11 08:23:00","Picking",2,83,"45.91","Completado","34.10","0.63","Zona D - Packing","8.21"
101,2,"2024-06-22 04:09:00","Picking",7,61,"68.95","Completado","60.20","0.84","Zona E - Expedición","2.54"
102,2,"2024-06-27 05:45:00","Recepción",5,10,"45.17","Completado","105.91","1.08","Zona A - Recepción","8.84"
103,5,"2024-01-22 09:50:00","Packing",1,139,"15.52","Completado","35.20","0.84","Zona D - Packing","7.27"
104,1,"2024-10-03 03:56:00","Inventario",5,91,"89.41","En_Progreso","72.80","0.65","Zona D - Packing","23.74"
105,5,"2024-09-12 03:30:00","Picking",4,164,"60.37","Completado","20.50","1.35","Zona C - Picking","6.27"
106,2,"2024-05-26 10:41:00","Packing",3,165,"27.11","Completado","151.03","0.67","Zona E - Expedición","24.21"
107,2,"2024-08-04 04:44:00","Packing",8,141,"35.24","Completado","89.14","0.67","Zona C - Picking","23.65"
108,5,"2024-03-11 03:34:00","Inventario",1,97,"24.91","Completado","86.08","1.10","Zona D - Packing","9.40"
109,4,"2024-10-03 11:33:00","Picking",2,196,"132.18","En_Progreso","34.66","0.68","Zona B - Almacenaje","22.25"
110,4,"2024-09-03 00:11:00","Packing",7,179,"58.88","Completado","32.96","0.94","Zona D - Packing","18.50"
111,1,"2024-02-22 09:52:00","Packing",8,170,"124.29","Completado","16.02","1.21","Zona B - Almacenaje","23.56"
112,1,"2024-01-23 08:11:00","Inventario",1,56,"46.01","En_Progreso","18.95","0.89","Zona C - Picking","5.34"
113,2,"2024-05-01 09:02:00","Recepción",1,199,"105.20","Completado","60.45","0.78","Zona D - Packing","1.74"
114,1,"2024-07-26 04:13:00","Packing",5,65,"96.29","Completado","115.53","1.12","Zona B - Almacenaje","4.36"
115,5,"2024-06-29 03:05:00","Recepción",2,80,"33.75","Completado","58.77","0.75","Zona E - Expedición","19.77"
116,2,"2024-07-26 08:40:00","Inventario",6,156,"27.69","Completado","155.96","1.38","Zona C - Picking","8.30"
117,1,"2024-07-28 05:30:00","Picking",7,110,"14.45","Completado","17.13","0.63","Zona D - Packing","19.73"
118,4,"2024-06-19 07:16:00","Picking",7,3,"113.01","En_Progreso","13.90","0.93","Zona C - Picking","4.93"
119,5,"2024-04-12 04:06:00","Packing",3,186,"41.31","Completado","21.29","1.25","Zona D - Packing","20.15"
120,3,"2024-07-24 05:31:00","Recepción",2,175,"35.24","Completado","31.07","1.30","Zona B - Almacenaje","20.59"
121,5,"2024-10-06 05:00:00","Recepción",2,129,"34.02","Completado","133.59","0.72","Zona E - Expedición","14.92"
122,3,"2024-05-13 09:27:00","Recepción",6,113,"119.01","Completado","22.42","0.72","Zona D - Packing","4.83"
123,1,"2024-01-10 06:58:00","Recepción",3,169,"46.97","En_Progreso","130.94","0.98","Zona D - Packing","19.25"
124,2,"2024-07-07 05:02:00","Packing",8,109,"40.12","Completado","15.71","1.13","Zona A - Recepción","22.68"
125,1,"2024-03-26 01:17:00","Recepción",7,154,"26.00","En_Progreso","12.28","1.38","Zona B - Almacenaje","13.09"
126,5,"2024-01-19 02:50:00","Packing",2,25,"106.92","Completado","64.54","1.01","Zona A - Recepción","23.92"
127,1,"2024-06-15 06:04:00","Recepción",4,71,"125.11","Completado","89.24","0.94","Zona A - Recepción","24.04"
128,1,"2024-02-29 03:39:00","Recepción",4,51,"33.50","Completado","72.02","0.78","Zona C - Picking","17.59"
129,4,"2024-01-21 13:59:00","Recepción",7,133,"61.58","Completado","73.62","0.84","Zona B - Almacenaje","1.28"
